a52dec 0.8.0-2
mbox-importer 24.08.1-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 26-1
megatools 1.11.1+20230212-3
merkuro 24.08.1-1
mesa 1:24.2.3-1
mesa-utils 9.0.0-4
meson 1.5.2-1
messagelib 24.08.1-1
microsoft-gsl 4.0.0-2
milou 6.1.5-1
mimetreeparser 24.08.1-1
minizip 1:1.3.1-2
minuet 24.08.1-1
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mlt 7.28.0-1
mm-common 1.0.6-1
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
modemmanager-qt 6.6.0-1
molequeue 0.9.0-4
mozc 2.30.5544.102-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.38.0-8
mpvqt 1.0.1-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.5-1
ncurses 6.5-3
neochat 24.08.1-1
neon 0.33.0-1
neovim 0.10.1-5
net-snmp 5.9.4-5
netpbm 10.86.42-1
netstandard-targeting-pack 8.0.8.sdk108-1
nettle 3.10-1
networkmanager 1.48.10-1
networkmanager-qt 6.6.0-1
ninja 1.12.1-1
node-gyp 10.2.0-1
nodejs 22.9.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:24.9.1-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.042-1
npm 10.8.3-1
npth 1.7-1
nspr 4.35-3
nss 3.104-1
numactl 2.0.18-1
ocean-sound-theme 6.1.5-1
ocl-icd 2.3.2-2
oh-my-zsh-git r7377.ac325a7ca-1
okular 24.08.1-1
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
openbabel 3.1.1-8
opencore-amr 0.1.6-2
opencv 4.10.0-9
openexr 3.2.4-1
openfortigui 0.9.10-1
openfortivpn 1.22.1-1
openh264 2.4.1-1
openjpeg2 2.5.2-1
openmpi 5.0.5-1
openpmix 5.0.3-1
openssh 9.9p1-1
openssl 3.3.2-1
openssl-1.1 1.1.1.w-2
openucx 1.17.0-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
ostree 2024.7-4
otf-aurulent-nerd 3.2.1-2
otf-codenewroman-nerd 3.2.1-2
otf-comicshanns-nerd 3.2.1-2
otf-commit-mono-nerd 3.2.1-2
otf-droid-nerd 3.2.1-2
otf-firamono-nerd 3.2.1-2
otf-geist-mono-nerd 3.2.1-2
otf-hasklig-nerd 3.2.1-2
otf-hermit-nerd 3.2.1-2
otf-monaspace-nerd 3.2.1-2
otf-opendyslexic-nerd 3.2.1-2
otf-overpass-nerd 3.2.1-2
oxygen 6.1.5-1
oxygen-sounds 6.1.5-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
pacman 7.0.0.r3.g7736133-1
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
palapeli 24.08.1-1
pam 1.6.1-3
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
parley 24.08.1-1
parsec-bin 150_95-1
parted 3.6-2
partitionmanager 24.08.1-1
paru 2.0.3-1
paru-debug 2.0.3-1
passim 0.1.8-1
pastel 0.9.0-3
patch 2.7.6-10
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 6.46-2
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.21-9
perl-net-http 6.23-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.29-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
pgadmin4-desktop 8.10-1
pgadmin4-server 8.10-1
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
picmi 24.08.1-1
pigz 2.8-2
pim-data-exporter 24.08.1-1
pim-sieve-editor 24.08.1-1
pimcommon 24.08.1-1
pinentry 1.3.1-5
pipewire 1:1.2.4-1
pipewire-audio 1:1.2.4-1
pipewire-jack 1:1.2.4-1
pipewire-session-manager 1:1.2.4-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.1.5-1
plasma-activities-stats 6.1.5-1
plasma-browser-integration 6.1.5-1
plasma-desktop 6.1.5-1
plasma-disks 6.1.5-1
plasma-firewall 6.1.5-1
plasma-integration 6.1.5-1
plasma-meta 6.1-1
plasma-nm 6.1.5-1
plasma-pa 6.1.5-1
plasma-systemmonitor 6.1.5-1
plasma-thunderbolt 6.1.5-1
plasma-vault 6.1.5-1
plasma-wayland-protocols 1.14.0-1
plasma-welcome 6.1.5-1
plasma-workspace 6.1.5-1
plasma-workspace-wallpapers 6.1.5-1
plasma5support 6.1.5-1
plasmatube 24.08.1-1
playerctl 2.4.1-4
pnpm 9.11.0-1
polkit 125-1
polkit-kde-agent 6.1.5-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 24.09.0-2
poppler-data 0.4.12-2
poppler-glib 24.09.0-2
poppler-qt5 24.09.0-2
poppler-qt6 24.09.0-2
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 16.3-4
potrace 1.16-3
powerdevil 6.1.5-1
powertop 2.15-2
poxml 24.08.1-1
ppp 2.5.0-3
print-manager 1:6.1.5-1
prison 6.6.0-1
procps-ng 4.0.4-3
protobuf 28.1-1
protobuf-c 1.5.0-6
prrte 3.0.6-1
psmisc 23.7-1
pugixml 1.14-1
pulseaudio 17.0-3
pulseaudio-bluetooth 17.0-3
pulseaudio-qt 1.6.0-1
purpose 6.6.0-1
purpose5 5.116.0-1
pyside6 6.7.2-3
python 3.12.6-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-automat 22.10.0-5
python-build 1.2.2-1
python-certifi 2024.08.30-1
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-constantly 23.10.0-2
python-cryptography 42.0.7-1
python-dbus 1.3.2-4
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-fonttools 4.53.1-1
python-gobject 3.50.0-1
python-hyperlink 21.0.0-6
python-idna 3.8-1
python-incremental 22.10.0-5
python-inflect 7.3.1-1
python-installer 0.7.0-8
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-lxml 5.3.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-netifaces 0.11.0-5
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pillow 10.4.0-1
python-pip 24.2-1
python-platformdirs 4.2.2-1
python-psutil 6.0.0-1
python-pycparser 2.22-2
python-pygdbmi 0.11.0.0-4
python-pygments 2.18.0-1
python-pyproject-hooks 1.1.0-1
python-pyqt5 5.15.11-1
python-pyqt5-sip 12.15.0-1
python-qasync 0.27.1-1
python-qtpy 2.4.1-4
python-requests 2.32.3-1
python-sentry_sdk 2.14.0-1
python-setuptools 1:69.5.1-1
python-six 1.16.0-9
python-tomli 2.0.1-4
python-tqdm 4.66.5-1
python-trove-classifiers 2024.9.12-1
python-ttfautohint-py 0.5.1-2
python-twisted 24.3.0-2
python-typeguard 4.3.0-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.19-1
python-wheel 0.44.0-1
python-ytmusicapi 1.8.1-1
python-zope-interface 7.0.3-1
qca-qt5 2.3.9-2
qca-qt6 2.3.9-2
qcoro-qt6 0.10.0-1
qgpgme-qt6 1.23.2-6
qhull 2020.2-5
qqc2-breeze-style 6.1.5-1
qqc2-desktop-style 6.6.0-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r127-1
qt5-declarative 5.15.15+kde+r25-1
qt5-graphicaleffects 5.15.15-1
qt5-location 5.15.15+kde+r7-1
qt5-multimedia 5.15.15+kde+r2-1
qt5-quickcontrols 5.15.15-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-remoteobjects 5.15.15-1
qt5-script 5.15.17-3
qt5-speech 5.15.15+kde+r1-1
qt5-svg 5.15.15+kde+r5-1
qt5-tools 5.15.15+kde+r3-2
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r59-1
qt5-webchannel 5.15.15+kde+r3-1
qt5-webengine 5.15.17-7
qt5-x11extras 5.15.15-1
qt5-xmlpatterns 5.15.15-1
qt6-5compat 6.7.2-1
qt6-base 6.7.2-2
qt6-charts 6.7.2-1
qt6-connectivity 6.7.2-1
qt6-declarative 6.7.2-1
qt6-httpserver 6.7.2-1
qt6-imageformats 6.7.2-1
qt6-location 6.7.2-1
qt6-multimedia 6.7.2-1
qt6-multimedia-ffmpeg 6.7.2-1
qt6-multimedia-gstreamer 6.7.2-1
qt6-networkauth 6.7.2-1
qt6-positioning 6.7.2-1
qt6-quick3d 6.7.2-1
qt6-quicktimeline 6.7.2-1
qt6-scxml 6.7.2-1
qt6-sensors 6.7.2-1
qt6-shadertools 6.7.2-1
qt6-speech 6.7.2-1
qt6-svg 6.7.2-1
qt6-tools 6.7.2-2
qt6-translations 6.7.2-1
qt6-virtualkeyboard 6.7.2-1
qt6-wayland 6.7.2-4
qt6-webchannel 6.7.2-1
qt6-webengine 6.7.2-3
qt6-websockets 6.7.2-1
qt6-webview 6.7.2-1
qtkeychain-qt5 0.14.3-1
qtkeychain-qt6 0.14.3-1
range-v3 0.12.0-2
ranger 1.9.3-11
raptor 2.0.16-5
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
recastnavigation 1.6.0-2
rhash 1.4.4-1
rnnoise 1:0.2-1
rocs 24.08.1-1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-2
run-parts 5.17-1
runc 1.1.14-1
rustup 1.27.1-1
samba 2:4.21.0-2
sane 1.3.1-1
sbc 2.0-2
scdoc 1.11.3-1
sdbus-cpp 1.5.0-3
sddm 0.21.0-4
sddm-kcm 6.1.5-1
sdl2 2.30.7-1
sdl2_ttf 2.22.0-1
seatd 0.8.0-2
sed 4.9-3
semver 7.6.3-1
serd 0.32.2-1
serf 1.3.10-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
shiboken6 6.7.2-3
signon-kwallet-extension 24.08.1-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
skanlite 24.08.1-1
skanpage 24.08.1-1
skladnik 24.08.1-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
smbclient 2:4.21.0-2
snappy 1.1.10-1
sndio 1.10.0-1
socat 1.8.0.1-1
solid 6.6.0-1
solid5 5.116.0-1
sonnet 6.6.0-1
sonnet5 5.116.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-13
spandsp 0.0.6-5
spdlog 1.14.1-3
spectacle 24.08.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spglib 2.5.0-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
step 24.08.1-1
subversion 1.14.3-2
sudo 1.9.16-1
svgpart 24.08.1-1
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
sweeper 24.08.1-1
syndication 6.6.0-1
syndication5 5.116.0-1
syntax-highlighting 6.6.0-1
syntax-highlighting5 5.116.0-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-resolvconf 256.6-1
systemd-sysvcompat 256.6-1
systemsettings 6.1.5-1
taglib 2.0.2-1
tailscale 1.74.1-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
telly-skout 24.08.1-1
tesseract 5.4.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.16.1-3
texinfo 7.1.1-1
threadweaver 6.6.0-1
threadweaver5 5.116.0-1
throttled 0.10.0-3
thunderbird 128.2.2-1
tinysparql 3.8.0-1
tl-expected 1.1.0-2
tlp 1.6.1-1
tofi 0.9.1-2
tokodon 24.08.1-1
tomlplusplus 3.4.0-1
tpm2-tss 4.0.1-1
tree 2.1.3-1
tree-sitter 0.23.0-1
tree-sitter-c 0.23.0-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-0xproto-nerd 3.2.1-2
ttf-3270-nerd 3.2.1-2
ttf-agave-nerd 3.2.1-2
ttf-anonymouspro-nerd 3.2.1-2
ttf-arimo-nerd 3.2.1-2
ttf-bigblueterminal-nerd 3.2.1-2
ttf-bitstream-vera-mono-nerd 3.2.1-2
ttf-cascadia-code-nerd 3.2.1-2
ttf-cascadia-mono-nerd 3.2.1-2
ttf-cousine-nerd 3.2.1-2
ttf-d2coding-nerd 3.2.1-2
ttf-daddytime-mono-nerd 3.2.1-2
ttf-dejavu-nerd 3.2.1-2
ttf-envycoder-nerd 3.2.1-2
ttf-fantasque-nerd 3.2.1-2
ttf-firacode-nerd 3.2.1-2
ttf-go-nerd 3.2.1-2
ttf-gohu-nerd 3.2.1-2
ttf-hack 3.003-7
ttf-hack-nerd 3.2.1-2
ttf-heavydata-nerd 3.2.1-2
ttf-iawriter-nerd 3.2.1-2
ttf-ibmplex-mono-nerd 3.2.1-2
ttf-inconsolata-go-nerd 3.2.1-2
ttf-inconsolata-lgc-nerd 3.2.1-2
ttf-inconsolata-nerd 3.2.1-2
ttf-intone-nerd 3.2.1-2
ttf-iosevka-nerd 3.2.1-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-iosevkatermslab-nerd 3.2.1-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-lekton-nerd 3.2.1-2
ttf-liberation 2.1.5-2
ttf-liberation-mono-nerd 3.2.1-2
ttf-lilex-nerd 3.2.1-2
ttf-martian-mono-nerd 3.2.1-2
ttf-meslo-nerd 3.2.1-2
ttf-monofur-nerd 3.2.1-2
ttf-monoid-nerd 3.2.1-2
ttf-mononoki-nerd 3.2.1-2
ttf-mplus-nerd 3.2.1-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-common 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-plemoljp 1.7.1-1
ttf-profont-nerd 3.2.1-2
ttf-proggyclean-nerd 3.2.1-2
ttf-recursive-nerd 3.2.1-2
ttf-roboto-mono-nerd 3.2.1-2
ttf-rounded-mgenplus 1.059.20150602-1
ttf-sharetech-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-space-mono-nerd 3.2.1-2
ttf-terminus-nerd 3.2.1-2
ttf-tinos-nerd 3.2.1-2
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
ttf-victor-mono-nerd 3.2.1-2
ttf-zed-mono-nerd 3.2.1-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udisks2 2.10.1-5
umbrello 24.08.1-1
unibilium 2.1.1-2
unzip 6.0-21
upower 1.90.6-1
usbutils 017-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R69-1
vencord 1.10.1-1
verdict 1.4.2-1
vesktop 1.5.3-3
vi 1:070224-6
vid.stab 1.1.1-2
vivaldi 6.9.3447.46-1
vlc 3.0.21-4
vmaf 3.0.0-1
volume_key 0.3.12-9
vtk 9.3.1-6
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-tools 1.3.269-1
vulkan-validation-layers 1.3.290-2
wavpack 5.7.0-1
waybar 0.11.0-3
wayland 1.23.1-1
wayland-protocols 1.37-1
wayland-utils 1.2.0-2
webkit2gtk 2.46.0-1
webkit2gtk-4.1 2.46.0-1
webrtc-audio-processing-1 1.3-3
weston 14.0.0-2
weylus-bin 0.11.4-1
wget 1.24.5-3
which 2.21-6
wildmidi 0.4.6-1
wireplumber 0.5.6-1
wl-clipboard 1:2.2.1-2
wlroots0.17 0.17.4-3
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
x11vnc 1:0.9.16-8
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapian-core 1:1.4.25-1
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-desktop-portal-hyprland 1.3.4-1
xdg-desktop-portal-kde 6.1.5-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xerces-c 3.2.5-2
xf86-input-libinput 1.4.0-2
xkeyboard-config 2.42-1
xorg-bdftopcf 1.1.1-2
xorg-font-util 1.4.1-2
xorg-fonts-encodings 1.1.0-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xdpyinfo 1.3.4-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xmessage 1.0.7-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xwayland 24.1.2-1
xorgproto 2024.1-2
xremap-hypr-bin 0.8.18-1
xsettingsd 1.0.2-2
xterm 394-1
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yakuake 24.08.1-1
yarn 1.22.22-2
yt-dlp 2024.08.06-1
yyjson 0.10.0-1
zanshin 24.08.1-1
zbar 0.23.93-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zoom 6.2.0-1
zsh 5.9-5
zstd 1.5.6-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
